Period,Scenario,LoadLevel,Nuclear,DomesticCoal_Anthracite,BrownLignite,ImportedCoal_SubBituminous,ImportedCoal_Bituminous,CCGT_1,CCGT_2,CCGT_3,CCGT_4,OCGT_1,OCGT_2,OCGT_3,FuelOilGas,WindFarm_1,SolarPV_1,ESS1,CCGT_5,CCGT_6,CCGT_7,CCGT_8,SolarPV_2
2045,sc01,03-26 07:00:00+01:00,,,,,,,,,,,,,,261.82315,3.59445,,,,,,3.59445
2045,sc01,03-26 08:00:00+01:00,,,,,,,,,,,,,,263.55825,20.507275,,,,,,20.507275
2045,sc01,03-26 09:00:00+01:00,,,,,,,,,,,,,,266.770675,39.11665,,,,,,39.11665
2045,sc01,03-26 10:00:00+01:00,,,,,,,,,,,,,,277.265075,52.505975,,,,,,52.505975
2045,sc01,03-26 11:00:00+01:00,,,,,,,,,,,,,,273.59385,64.551975,,,,,,64.551975
2045,sc01,03-26 12:00:00+01:00,,,,,,,,,,,,,,270.160175,71.53625,,,,,,71.53625
2045,sc01,03-26 13:00:00+01:00,,,,,,,,,,,,,,268.98325,69.32635,,,,,,69.32635
2045,sc01,03-26 14:00:00+01:00,,,,,,,,,,,,,,278.997575,63.403775,,,,,,63.403775
2045,sc01,03-26 15:00:00+01:00,,,,,,,,,,,,,,281.9969,52.56825,,,,,,52.56825
2045,sc01,03-26 16:00:00+01:00,,,,,,,,,,,,,,285.253,40.31735,,,,,,40.31735
2045,sc01,03-26 17:00:00+01:00,,,,,,,,,,,,,,289.224825,25.365175,,,,,,25.365175
2045,sc01,03-26 18:00:00+01:00,,,,,,,,,,,,,,284.925625,9.86505,,,,,,9.86505
2045,sc01,03-26 19:00:00+01:00,,,,,,,,,,,,,,283.144775,0.5829,,,,,,0.5829
2045,sc01,03-26 20:00:00+01:00,,,,,,,,,,,,,,286.626375,0,,,,,,0
2045,sc01,03-26 21:00:00+01:00,,,,,,,,,,,,,,286.68415,0,,,,,,0
2045,sc01,03-26 22:00:00+01:00,,,,,,,,,,,,,,283.1119,0,,,,,,0
2045,sc01,03-26 23:00:00+01:00,,,,,,,,,,,,,,273.490425,0,,,,,,0
2045,sc01,03-27 00:00:00+01:00,,,,,,,,,,,,,,269.5658,0,,,,,,0
2045,sc01,03-27 01:00:00+01:00,,,,,,,,,,,,,,272.4509,0,,,,,,0
2045,sc01,03-27 02:00:00+01:00,,,,,,,,,,,,,,269.82295,0,,,,,,0
2045,sc01,03-27 03:00:00+01:00,,,,,,,,,,,,,,262.1563,0,,,,,,0
2045,sc01,03-27 04:00:00+01:00,,,,,,,,,,,,,,256.376475,0,,,,,,0
2045,sc01,03-27 05:00:00+01:00,,,,,,,,,,,,,,241.357225,0,,,,,,0
2045,sc01,03-27 06:00:00+01:00,,,,,,,,,,,,,,233.91795,0.0249,,,,,,0.0249
2045,sc01,03-27 07:00:00+01:00,,,,,,,,,,,,,,237.580625,4.280775,,,,,,4.280775
2045,sc01,03-27 08:00:00+01:00,,,,,,,,,,,,,,229.627725,29.94535,,,,,,29.94535
2045,sc01,03-27 09:00:00+01:00,,,,,,,,,,,,,,230.7195,56.625,,,,,,56.625
2045,sc01,03-27 10:00:00+01:00,,,,,,,,,,,,,,234.024625,72.94975,,,,,,72.94975
2045,sc01,03-27 11:00:00+01:00,,,,,,,,,,,,,,237.793,82.088,,,,,,82.088
2045,sc01,03-27 12:00:00+01:00,,,,,,,,,,,,,,244.592425,84.422925,,,,,,84.422925
2045,sc01,03-27 13:00:00+01:00,,,,,,,,,,,,,,250.329875,82.873,,,,,,82.873
2045,sc01,03-27 14:00:00+01:00,,,,,,,,,,,,,,249.253775,79.41585,,,,,,79.41585
2045,sc01,03-27 15:00:00+01:00,,,,,,,,,,,,,,243.470075,73.3937,,,,,,73.3937
2045,sc01,03-27 16:00:00+01:00,,,,,,,,,,,,,,244.018325,60.204675,,,,,,60.204675
2045,sc01,03-27 17:00:00+01:00,,,,,,,,,,,,,,239.3925,42.745175,,,,,,42.745175
2045,sc01,03-27 18:00:00+01:00,,,,,,,,,,,,,,226.519825,18.032825,,,,,,18.032825
2045,sc01,03-27 19:00:00+01:00,,,,,,,,,,,,,,211.81125,1.113975,,,,,,1.113975
2045,sc01,03-27 20:00:00+01:00,,,,,,,,,,,,,,213.82975,0,,,,,,0
2045,sc01,03-27 21:00:00+01:00,,,,,,,,,,,,,,221.6277,0,,,,,,0
2045,sc01,03-27 22:00:00+01:00,,,,,,,,,,,,,,217.278825,0,,,,,,0
2045,sc01,03-27 23:00:00+01:00,,,,,,,,,,,,,,205.294,0,,,,,,0
2045,sc01,03-28 00:00:00+01:00,,,,,,,,,,,,,,196.3736,0,,,,,,0
2045,sc01,03-28 01:00:00+01:00,,,,,,,,,,,,,,185.08765,0,,,,,,0
2045,sc01,03-28 02:00:00+01:00,,,,,,,,,,,,,,184.140025,0,,,,,,0
2045,sc01,03-28 03:00:00+01:00,,,,,,,,,,,,,,181.10765,0,,,,,,0
2045,sc01,03-28 04:00:00+01:00,,,,,,,,,,,,,,176.8601,0,,,,,,0
2045,sc01,03-28 05:00:00+01:00,,,,,,,,,,,,,,170.194375,0,,,,,,0
2045,sc01,03-28 06:00:00+01:00,,,,,,,,,,,,,,168.423625,0.026725,,,,,,0.026725
2045,sc01,03-28 07:00:00+01:00,,,,,,,,,,,,,,167.9368,5.19875,,,,,,5.19875
2045,sc01,03-28 08:00:00+01:00,,,,,,,,,,,,,,157.358225,32.9456,,,,,,32.9456
2045,sc01,03-28 09:00:00+01:00,,,,,,,,,,,,,,152.534025,58.6235,,,,,,58.6235
2045,sc01,03-28 10:00:00+01:00,,,,,,,,,,,,,,157.320375,75.397925,,,,,,75.397925
2045,sc01,03-28 11:00:00+01:00,,,,,,,,,,,,,,165.375,85.58655,,,,,,85.58655
2045,sc01,03-28 12:00:00+01:00,,,,,,,,,,,,,,163.288975,91.239625,,,,,,91.239625
2045,sc01,03-28 13:00:00+01:00,,,,,,,,,,,,,,169.643675,92.6784,,,,,,92.6784
2045,sc01,03-28 14:00:00+01:00,,,,,,,,,,,,,,180.537875,89.68185,,,,,,89.68185
2045,sc01,03-28 15:00:00+01:00,,,,,,,,,,,,,,188.843025,81.856375,,,,,,81.856375
2045,sc01,03-28 16:00:00+01:00,,,,,,,,,,,,,,193.85575,68.775925,,,,,,68.775925
2045,sc01,03-28 17:00:00+01:00,,,,,,,,,,,,,,197.035425,48.539225,,,,,,48.539225
2045,sc01,03-28 18:00:00+01:00,,,,,,,,,,,,,,187.69895,19.65325,,,,,,19.65325
2045,sc01,03-28 19:00:00+01:00,,,,,,,,,,,,,,177.7515,1.093225,,,,,,1.093225
2045,sc01,03-28 20:00:00+01:00,,,,,,,,,,,,,,186.16675,0,,,,,,0
2045,sc01,03-28 21:00:00+01:00,,,,,,,,,,,,,,181.099525,0,,,,,,0
