,Demand,Solar,Wind,Hydro
01-14 00:00:00+01:00,5547.822639,0.57,2182.2,109
01-14 01:00:00+01:00,5487.528434,0.57,2269.6,130.2
01-14 02:00:00+01:00,5485.264704,0.57,2397.3,88.6
01-14 03:00:00+01:00,5545.674817,0.57,2478.7,107
01-14 04:00:00+01:00,5727.201636,0.57,2481.6,173.4
01-14 05:00:00+01:00,6112.573927,0.57,2436.4,147.8
01-14 06:00:00+01:00,6473.198035,0.57,2184.9,130.6
01-14 07:00:00+01:00,6444.852758,879.61,2192.3,153
01-14 08:00:00+01:00,6361.431049,1554.8,2375.4,73.8
01-14 09:00:00+01:00,6279.818475,2016.1,2406.1,113.4
01-14 10:00:00+01:00,6231.426919,2198.4,2430.3,119.4
01-14 11:00:00+01:00,6151.271243,2284.8,2326.1,87
01-14 12:00:00+01:00,6091.379562,2266.9,2221.9,101
01-14 13:00:00+01:00,6022.192435,2135.1,2115.2,106.6
01-14 14:00:00+01:00,5986.04541,1731,1856.9,104.6
01-14 15:00:00+01:00,5966.441822,1001.11,1817.1,104.2
01-14 16:00:00+01:00,6115.198615,0.66,1646.1,98.2
01-14 17:00:00+01:00,6718.936891,0.57,475.71,89.8
01-14 18:00:00+01:00,6812.082494,0.57,583.01,89
01-14 19:00:00+01:00,6693.942712,0.57,616.81,94.2
01-14 20:00:00+01:00,6533.412983,0.57,836.9,97.4
01-14 21:00:00+01:00,6243.162359,0.57,774.9,93.8
01-14 22:00:00+01:00,5909.857381,0.57,1080.5,77
01-14 23:00:00+01:00,5638.306253,0.57,1100.7,92.6
01-15 00:00:00+01:00,5480.923071,0.57,1469.3,82.4
01-15 01:00:00+01:00,5410.063106,0.57,1353.7,107.8
01-15 02:00:00+01:00,5393.607677,0.57,1768.6,141.2
01-15 03:00:00+01:00,5444.816449,0.57,1604.5,113.4
01-15 04:00:00+01:00,5638.910969,0.57,1145,85.8
01-15 05:00:00+01:00,5976.193841,0.57,733.5,88.6
